date,treas3mo,treas2yr,treas10yr,Aaa,Baa
APR1988,6.078,7.58835318,8.88653217,9.67049999,10.89599953
MAY1988,6.4452381,7.99606492,9.21053635,9.90428575,11.04380907
JUN1988,6.65590909,8.04053216,9.00841297,9.85545449,11.00363632
JUL1988,6.9375,8.26688109,9.18484456,9.96400008,11.11399999
AUG1988,7.28913043,8.62572437,9.36064309,10.11173912,11.2143478
SEP1988,7.47238095,8.47475986,9.07396488,9.81952381,10.89666671
OCT1988,7.588,8.35776321,8.90454318,9.50523817,10.40714273
NOV1988,8.022,8.66569796,9.04223472,9.44714283,10.47761899
DEC1988,8.3447619,9.09910329,9.17760347,9.56761914,10.64523806
JAN1989,8.554,9.18517367,9.16539608,9.62285712,10.6542857
FEB1989,8.83578947,9.37614513,9.24361933,9.63526316,10.60894737
MAR1989,9.13590909,9.73958802,9.41435381,9.80181818,10.66772727
APR1989,8.959,9.50427173,9.24927556,9.791,10.614
MAY1989,8.73181818,9.05914403,8.96099586,9.57272727,10.46272727
JUN1989,8.44090909,8.44525634,8.40534079,9.09636364,10.03318182
JUL1989,8.15,7.86633441,8.11085722,8.9315,9.874
AUG1989,8.16956522,8.17764781,8.20650579,8.95826087,9.87608696
SEP1989,8.0125,8.26648705,8.30114441,9.005,9.9115
OCT1989,7.8947619,8.02686635,8.15010769,8.91954545,9.81
NOV1989,7.94380952,7.82259998,7.98660996,8.89095238,9.81238095
DEC1989,7.88,7.81106332,7.93802453,8.8565,9.8185
JAN1990,7.89666667,8.11472268,8.30743763,8.98909091,9.94227273
FEB1990,8.00105263,8.37203789,8.57134114,9.22263158,10.14421053
MAR1990,8.16772727,8.59926306,8.68849045,9.36863636,10.20681818
APR1990,8.039,8.71972005,8.86525531,9.4635,10.3015
MAY1990,8.00409091,8.62541417,8.84511233,9.465,10.41136364
JUN1990,7.98380952,8.343429,8.58390274,9.25666667,10.22047619
JUL1990,7.87428571,8.18480513,8.57072489,9.24238095,10.19571429
AUG1990,7.6926087,8.10284164,8.82542191,9.40826087,10.41217391
SEP1990,7.59631579,8.13656853,8.99225016,9.56368421,10.63578947
OCT1990,7.39590909,7.94150282,8.79431692,9.53217391,10.73826087
NOV1990,7.2875,7.64835455,8.4585019,9.29857143,10.62333333
DEC1990,6.949,7.39975499,8.17522002,9.054,10.4345
JAN1991,6.40761905,7.18921558,8.22371566,9.04227273,10.45136364
FEB1991,6.10578947,6.8774185,7.99615633,8.82947368,10.06842105
MAR1991,6.091,7.10570333,8.24667257,8.928,10.09
APR1991,5.82363636,6.96751811,8.18672202,8.85818182,9.94227273
MAY1991,5.62818182,6.85145837,8.24240372,8.85590909,9.86363636
JUN1991,5.7435,7.10553069,8.43664411,9.007,9.962
JUL1991,5.74545455,7.01026315,8.39162661,8.99863636,9.89454545
AUG1991,5.495,6.46355775,8.06358502,8.75136364,9.64545455
SEP1991,5.3715,6.22808327,7.82425783,8.608,9.5145
OCT1991,5.14090909,5.95357911,7.67246177,8.54695652,9.48826087
NOV1991,4.68684211,5.61663918,7.61960186,8.48,9.4535
DEC1991,4.18238095,5.10236389,7.33001109,8.30857143,9.25904762
JAN1992,3.9047619,5.03101798,7.3238985,8.20045455,9.12863636
FEB1992,3.94578947,5.26990812,7.56428396,8.28684211,9.22631579
MAR1992,4.13590909,5.72658359,7.69228506,8.34863636,9.24863636
APR1992,3.83666667,5.37758431,7.64886686,8.32809524,9.20904762
MAY1992,3.7155,5.21515538,7.55940461,8.2795,9.1295
JUN1992,3.74,5.07651572,7.4429586,8.22136364,9.04818182
JUL1992,3.27863636,4.41598017,7.10612475,8.06681818,8.83681818
AUG1992,3.19380952,4.25548724,6.88753833,7.95,8.65285714
SEP1992,2.97095238,3.97071292,6.76274281,7.92047619,8.61666667
OCT1992,2.92285714,4.17216149,6.90409678,7.99,8.83954545
NOV1992,3.19757895,4.65281983,7.10618113,8.096,8.9605
DEC1992,3.28727273,4.719697,6.97834438,7.97727273,8.81045455
JAN1993,3.06578947,4.41076161,6.8428157,7.9055,8.6665
FEB1993,2.98736842,4.11979822,6.51583242,7.70947368,8.39368421
MAR1993,3.01173913,3.96862729,6.28844241,7.58304348,8.14565217
APR1993,2.93,3.86303762,6.23177913,7.46047619,8.14047619
MAY1993,3.019,3.97026719,6.26789977,7.4295,8.214
JUN1993,3.14045455,4.17286473,6.12368658,7.32636364,8.06954545
JUL1993,3.10190476,4.08792873,5.95260739,7.1747619,7.93333333
AUG1993,3.08363636,4.01504192,5.8513994,6.84636364,7.595
SEP1993,3.00809524,3.85634672,5.55698456,6.65714286,7.34190476
OCT1993,3.081,3.86832973,5.50745456,6.67,7.31238095
NOV1993,3.174,4.14707889,5.88345498,6.92809524,7.66047619
DEC1993,3.12545455,4.19355501,5.91218721,6.93181818,7.685
JAN1994,3.037,4.12336465,5.86849863,6.9247619,7.64952381
FEB1994,3.32473684,4.46764606,6.11804706,7.07526316,7.76368421
MAR1994,3.58304348,5.03219618,6.63101942,7.48434783,8.12913043
APR1994,3.76315789,5.59655193,7.1029794,7.88210526,8.52263158
